id,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,revenue
1.0,0.0,0.0,0.0,,5.0,8.108.333.333,0.04,0.05,0.0,0.0,Dec,,2.0,1.0,2.0,New_Visitor,0.0,0.0
2.0,0.0,0.0,0.0,0.0,3.0,189.0,,66.666.667,0.0,0.0,Mar,,2.0,8.0,1.0,Returning_Visitor,0.0,0.0
3.0,0.0,0.0,1.0,132.0,8.0,445.0,0.0,14.285.714,0.0,0.0,Mar,,2.0,4.0,14.0,Returning_Visitor,1.0,0.0
4.0,,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.0,Mar,,8.0,2.0,1.0,Returning_Visitor,0.0,0.0
5.0,0.0,0.0,0.0,0.0,4.0,14.0,0.1,0.15,0.0,0.0,Mar,3.0,2.0,1.0,1.0,Returning_Visitor,0.0,0.0
6.0,0.0,0.0,0.0,0.0,15.0,8.938.333.333,0.0,125,396.497.508,0.0,Oct,,2.0,6.0,2.0,New_Visitor,1.0,1.0
7.0,4.0,33.0,0.0,0.0,35.0,7.029.166.667.000.000,0.0,,0.0,0.0,Dec,,1.0,1.0,2.0,New_Visitor,0.0,0.0
8.0,14.0,3.752.785.714,0.0,,156.0,5.432.836.783,,29.074.729,2.992.267.778,1.0,May,2.0,2.0,6.0,1.0,Returning_Visitor,1.0,0.0
9.0,2.0,102.0,0.0,0.0,16.0,50.283.333.330.000.000,0.0,44.444.440.000.000.000,0.0,0.0,Mar,,2.0,4.0,2.0,Returning_Visitor,1.0,0.0
10.0,1.0,61.25,3.0,1083.0,14.0,2230.5,0.0,11.764.706.000.000.000,0.0,0.0,Dec,,2.0,1.0,2.0,Returning_Visitor,0.0,0.0
11.0,0.0,0.0,0.0,0.0,10.0,8.341.666.667,0.0,22.222.222.000.000.000,0.0,0.0,Nov,,1.0,1.0,2.0,Returning_Visitor,1.0,0.0
12.0,5.0,724.5,0.0,,23.0,8.673.333.332.999.990,0.0,8.264.460.000.000.000,59.988,0.0,May,,1.0,,2.0,Returning_Visitor,0.0,1.0
13.0,0.0,0.0,0.0,,6.0,189.0,66.666.667,116.666.667,0.0,0.4,May,,6.0,1.0,3.0,Returning_Visitor,0.0,0.0
14.0,,5.125.805.785,4.0,211.0,61.0,2.362.724.563,5.615.082,24.507.322,2.761.615.655,0.0,Oct,,1.0,3.0,1.0,Returning_Visitor,0.0,0.0
15.0,10.0,7.616.666.667,0.0,,17.0,404.0,0.0,,0.0,0.0,May,1.0,2.0,2.0,11.0,Returning_Visitor,1.0,0.0
16.0,,0.0,0.0,0.0,7.0,14.045.833.330.000.000,28.571.429,34.285.714,0.0,0.0,Nov,,3.0,9.0,2.0,Returning_Visitor,0.0,0.0
17.0,1.0,0.0,1.0,,65.0,3.174.088.455,17.014.925,40.540.739,0.0,0.0,Dec,,2.0,2.0,13.0,Returning_Visitor,1.0,0.0
18.0,,75.0,0.0,0.0,19.0,1.773.375,11.764.706.000.000.000,30.392.157.000.000.000,2.811.635.484,0.0,Nov,,2.0,1.0,13.0,Returning_Visitor,0.0,1.0
19.0,,0.0,0.0,0.0,111.0,2.805.038.095,5.405.405,38.192.738,0.0,0.0,Aug,,1.0,3.0,3.0,Returning_Visitor,1.0,0.0
20.0,1.0,5.5,0.0,,22.0,339.25,,26.984.127.000.000.000,0.0,0.0,Mar,2.0,2.0,2.0,3.0,Returning_Visitor,0.0,0.0
21.0,2.0,45.5,0.0,0.0,22.0,535.0,0.0,25,9.650.250.036.000.000,0.0,Nov,,2.0,3.0,11.0,Returning_Visitor,1.0,1.0
22.0,0.0,0.0,0.0,0.0,63.0,1.320.189.881,0.0,468.384,0.0,0.0,Nov,,6.0,1.0,2.0,Returning_Visitor,0.0,0.0
23.0,9.0,79.0,1.0,,55.0,17.430.666.670.000.000,0.0,4.371.585,0.0,0.0,Mar,,2.0,6.0,2.0,Returning_Visitor,0.0,0.0
24.0,9.0,9.618.666.667,1.0,35.2,63.0,1.345.136.667,29.166.667,53.287.037,210.185.027,0.0,Jul,,2.0,9.0,13.0,Returning_Visitor,0.0,0.0
25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Mar,,2.0,4.0,1.0,Returning_Visitor,0.0,0.0
26.0,0.0,0.0,0.0,0.0,59.0,1.309.658.333,,30.879.354,0.0,0.0,Dec,3.0,2.0,3.0,1.0,Returning_Visitor,0.0,0.0
27.0,11.0,373.62,9.0,322.8,191.0,3.677.258.176,9.105.691,24.303.938,0.0,0.0,Aug,,2.0,6.0,1.0,Returning_Visitor,1.0,0.0
28.0,0.0,0.0,0.0,0.0,16.0,980.25,0.0,0.04,0.0,0.0,Mar,2.0,2.0,4.0,3.0,Returning_Visitor,0.0,0.0
29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,,0.0,0.0,May,1.0,1.0,1.0,3.0,Returning_Visitor,0.0,0.0
30.0,1.0,76.6,2.0,23.2,46.0,4.598.433.333,42.553.190.000.000.000,46.808.511,1.072.449.269,0.0,Jul,,2.0,1.0,1.0,Returning_Visitor,0.0,1.0
31.0,2.0,32.0,0.0,,50.0,1245.3,4,20.666.667,7.146.260.888,0.0,Mar,,2.0,7.0,9.0,Returning_Visitor,1.0,0.0
32.0,,190.4,1.0,274.0,39.0,1.321.853.333,952.381,18.253.968,0.0,0.0,Aug,,2.0,8.0,4.0,Returning_Visitor,0.0,0.0
33.0,0.0,0.0,0.0,,49.0,3.247.583.333,25.531.915,37.163.121,0.0,0.0,Dec,,4.0,9.0,1.0,Returning_Visitor,1.0,0.0
34.0,0.0,0.0,0.0,,32.0,2632.7,625,13.541.667,0.0,0.0,Nov,,1.0,1.0,3.0,Returning_Visitor,1.0,0.0
